object_id,time,groundwater_storage
25,2020-09-01 00:00:00,2.978119618
25,2020-10-01 00:00:00,-27.99453059
25,2020-11-01 00:00:00,-68.56468422
25,2020-12-01 00:00:00,-101.8627778
56,2002-04-01 00:00:00,25.0150798
56,2002-05-01 00:00:00,0.524893936
56,2002-08-01 00:00:00,9.617437006
56,2002-09-01 00:00:00,-43.94414926
56,2002-10-01 00:00:00,-39.46817581
56,2002-11-01 00:00:00,-17.86135323
56,2002-12-01 00:00:00,-2.259510219
56,2003-01-01 00:00:00,27.09106734
56,2003-02-01 00:00:00,31.11659471
56,2003-03-01 00:00:00,36.13759765
56,2003-04-01 00:00:00,2.139843505
56,2003-05-01 00:00:00,-22.42308704
56,2003-07-01 00:00:00,-3.803669819
56,2003-08-01 00:00:00,36.08724478
56,2003-09-01 00:00:00,9.988041471
56,2003-10-01 00:00:00,-47.51540576
56,2003-11-01 00:00:00,-46.97741737
56,2003-12-01 00:00:00,-0.993362538
56,2004-01-01 00:00:00,0.23834632
56,2004-02-01 00:00:00,38.03718749
56,2004-03-01 00:00:00,55.15804375
56,2004-04-01 00:00:00,41.71729329
56,2004-05-01 00:00:00,22.59940432
56,2004-06-01 00:00:00,13.50975121
56,2004-07-01 00:00:00,16.04285819
56,2004-08-01 00:00:00,-8.962404601
56,2004-09-01 00:00:00,-54.37368294
56,2004-10-01 00:00:00,-63.6506782
56,2004-11-01 00:00:00,-58.64277098
56,2004-12-01 00:00:00,-51.4447785
56,2005-01-01 00:00:00,-39.77353615
56,2005-02-01 00:00:00,-33.25820682
56,2005-03-01 00:00:00,18.51436913
56,2005-04-01 00:00:00,6.391603134
56,2005-05-01 00:00:00,2.590460534
56,2005-06-01 00:00:00,-7.18930286
56,2005-07-01 00:00:00,-20.04223958
56,2005-08-01 00:00:00,0.995505006
56,2005-09-01 00:00:00,-47.44720389
56,2005-10-01 00:00:00,-50.28682587
56,2005-11-01 00:00:00,-55.23814044
56,2005-12-01 00:00:00,-43.33252844
56,2006-01-01 00:00:00,-40.45318652
56,2006-02-01 00:00:00,-13.9496405
56,2006-03-01 00:00:00,0.311065955
56,2006-04-01 00:00:00,23.21706822
56,2006-05-01 00:00:00,-1.573977146
56,2006-06-01 00:00:00,23.12844576
56,2006-07-01 00:00:00,18.78664516
56,2006-08-01 00:00:00,24.1863367
56,2006-09-01 00:00:00,-21.01762531
56,2006-10-01 00:00:00,-50.47143133
56,2006-11-01 00:00:00,-48.4123431
56,2006-12-01 00:00:00,-35.87131553
56,2007-01-01 00:00:00,-44.6313094
56,2007-02-01 00:00:00,-2.810450295
56,2007-03-01 00:00:00,43.99011694
56,2007-04-01 00:00:00,58.46289381
56,2007-05-01 00:00:00,37.53820694
56,2007-06-01 00:00:00,37.85593404
56,2007-07-01 00:00:00,5.587731794
56,2007-08-01 00:00:00,-12.9197259
56,2007-09-01 00:00:00,-23.08101399
56,2007-10-01 00:00:00,-33.13551006
56,2007-11-01 00:00:00,-35.91563262
56,2007-12-01 00:00:00,-57.39903141
56,2008-01-01 00:00:00,-70.45791667
56,2008-02-01 00:00:00,-54.33395394
